Direction and Energies,,,,,,,,,
X-axis ,,Y-axis,,inter-layer height ,,Energies (Hartree),,Relative energy (eV),
0,,0,,3.63,,-213.2690947,,0.857281279,
0,,0.1,,3.62,,-213.2692138,,0.854040129,
0,,0.2,,3.62,,-213.2695567,,0.844711245,
0,,0.3,,3.61,,-213.2701264,,0.829208094,
0,,0.4,,3.59,,-213.2709266,,0.807434348,
0,,0.5,,3.58,,-213.2719643,,0.779195174,
0,,0.6,,3.55,,-213.273235,,0.744617376,
0,,0.7,,3.53,,-213.2747496,,0.703404622,
0,,0.8,,3.5,,-213.2764866,,0.656138148,
0,,0.9,,3.47,,-213.2784491,,0.602736047,
0,,1,,3.45,,-213.2805757,,0.544867468,
0,,1.1,,3.4,,-213.2828508,,0.482959084,
0,,1.2,,3.37,,-213.2851981,,0.419086037,
0,,1.3,,3.34,,-213.2875106,,0.356158858,
0,,1.4,,3.32,,-213.2897074,,0.296382759,
0,,1.5,,3.29,,-213.2917114,,0.241849209,
0,,1.6,,3.28,,-213.2934346,,0.194959613,
0,,1.7,,3.26,,-213.2949012,,0.155051646,
0,,1.8,,3.25,,-213.2960814,,0.122936479,
0,,1.9,,3.23,,-213.2970352,,0.096983062,
0,,2,,3.22,,-213.2977915,,0.076401992,
0,,2.1,,3.21,,-213.2984002,,0.059837324,
0,,2.2,,3.21,,-213.2989228,,0.045618552,
0,,2.3,,3.21,,-213.2993532,,0.033906765,
0,,2.4,,3.19,,-213.299721,,0.023898684,
0,,2.5,,3.19,,-213.3000527,,0.014871846,
0,,2.6,,3.18,,-213.3003072,,0.007945457,
0,,2.7,,3.19,,-213.3004851,,0.003104277,
0,,2.8,,3.18,,-213.3005992,,0,
0,,2.9,,3.18,,-213.3005919,,0.00019946,
0,,3,,3.18,,-213.3004737,,0.003415575,
0,,3.1,,3.17,,-213.3002563,,0.009330789,
0,,3.2,,3.17,,-213.2999113,,0.018719538,
0,,3.3,,3.17,,-213.2994621,,0.030942627,
0,,3.4,,3.18,,-213.2989489,,0.044907518,
0,,3.5,,3.19,,-213.2983721,,0.060601693,
0,,3.6,,3.19,,-213.2977554,,0.077385412,
0,,3.7,,3.2,,-213.2971335,,0.094307093,
0,,3.8,,3.2,,-213.2965024,,0.111480752,
0,,3.9,,3.22,,-213.2959085,,0.127641602,
0,,4,,3.22,,-213.2953509,,0.142814679,
0,,4.1,,3.23,,-213.2948239,,0.157153182,
0,,4.2,,3.23,,-213.2943578,,0.169838865,
0,,4.3,,3.23,,-213.2939376,,0.18127119,
0,,4.4,,3.23,,-213.2935644,,0.191426485,
0,,4.5,,3.23,,-213.2932337,,0.200426383,
0,,4.6,,3.23,,-213.2929352,,0.208548986,
0,,4.7,,3.23,,-213.2926538,,0.216205458,
0,,4.8,,3.23,,-213.2923711,,0.223898665,
0,,4.9,,3.24,,-213.2920747,,0.231964124,
0,,5,,3.24,,-213.2917363,,0.241171917,
0,,5.1,,3.24,,-213.2913497,,0.251692933,
0,,5.2,,3.25,,-213.2909039,,0.263822959,
0,,5.3,,3.25,,-213.2904296,,0.276730142,
0,,5.4,,3.25,,-213.2899235,,0.290502104,
0,,5.5,,3.25,,-213.2894058,,0.304589445,
0,,5.6,,3.27,,-213.288911,,0.318053918,
0,,5.7,,3.26,,-213.288477,,0.329863394,
0,,5.8,,3.28,,-213.2880968,,0.340208079,
0,,5.9,,3.27,,-213.2878143,,0.347895572,
0,,6,,3.28,,-213.2876165,,0.353276899,
0,,6.1,,3.27,,-213.2874932,,0.356633153,
0,,6.2,,3.28,,-213.2874808,,0.356970302,
